Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (85℃/120Hz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UVP0J330MDD,EOL,6.3,33.00,5.0,11.0,-40,85,2000,0.44,0.26,6,64,,,,,,,,6000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP0J470MDD,EOL,6.3,47.00,5.0,11.0,-40,85,2000,0.44,0.26,9,76,,,,,,,,6000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP0J101MED,EOL,6.3,100.00,6.3,11.0,-40,85,2000,0.59,0.26,19,125,,,,,,,,4000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP0J221MPD,MP,6.3,220.00,8.0,11.5,-40,85,2000,1.19,0.26,42,215,,,,,,,,3000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP0J331MPD,MP,6.3,330.00,8.0,11.5,-40,85,2000,1.19,0.26,62,265,,,,,,,,3000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP0J471MPD,MP,6.3,470.00,10.0,12.5,-40,85,2000,1.49,0.26,89,370,,,,,,,,2000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP0J102MPD,MP,6.3,1000.00,10.0,20.0,-40,85,2000,2.34,0.26,189,650,,,,,,,,1400,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP0J222MHD,MP,6.3,2200.00,12.5,25.0,-40,85,2000,4.56,0.28,416,1160,,,,,,,,800,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP0J332MHD,MP,6.3,3300.00,16.0,25.0,-40,85,2000,8.20,0.30,624,1570,,,,,,,,400,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP0J472MHD,MP,6.3,4700.00,16.0,30.5,-40,85,2000,9.60,0.32,888,2020,,,,,,,,300,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP0J682MHD,MP,6.3,6800.00,18.0,35.5,-40,85,2000,14.20,0.36,1285,2600,,,,,,,,250,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1A220MDD,EOL,10.0,22.00,5.0,11.0,-40,85,2000,0.44,0.24,7,57,,,,,,,,6000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1A330MDD,EOL,10.0,33.00,5.0,11.0,-40,85,2000,0.44,0.24,10,64,,,,,,,,6000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1A470MDD,EOL,10.0,47.00,5.0,11.0,-40,85,2000,0.44,0.24,14,76,,,,,,,,6000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1A101MED,EOL,10.0,100.00,6.3,11.0,-40,85,2000,0.59,0.24,30,125,,,,,,,,4000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1A221MPD,MP,10.0,220.00,8.0,11.5,-40,85,2000,1.19,0.24,66,215,,,,,,,,3000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1A331MPD,MP,10.0,330.00,10.0,16.0,-40,85,2000,1.77,0.24,99,345,,,,,,,,1800,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1A471MPD,MP,10.0,470.00,10.0,16.0,-40,85,2000,1.77,0.24,141,410,,,,,,,,1800,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1A102MHD,MP,10.0,1000.00,12.5,20.0,-40,85,2000,3.43,0.24,300,720,,,,,,,,1000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1A222MHD,MP,10.0,2200.00,16.0,25.0,-40,85,2000,8.20,0.26,660,1280,,,,,,,,400,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1A332MHD,MP,10.0,3300.00,16.0,30.5,-40,85,2000,9.60,0.28,990,1690,,,,,,,,300,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1A472MHD,MP,10.0,4700.00,18.0,35.5,-40,85,2000,14.20,0.30,1410,2160,,,,,,,,250,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1C100MDD,EOL,16.0,10.00,5.0,11.0,-40,85,2000,0.44,0.22,5,42,,,,,,,,6000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1C220MDD,EOL,16.0,22.00,5.0,11.0,-40,85,2000,0.44,0.22,11,57,,,,,,,,6000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1C330MDD,EOL,16.0,33.00,5.0,11.0,-40,85,2000,0.44,0.22,16,70,,,,,,,,6000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1C470MED,EOL,16.0,47.00,6.3,11.0,-40,85,2000,0.59,0.22,23,95,,,,,,,,4000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1C101MPD,MP,16.0,100.00,8.0,11.5,-40,85,2000,1.19,0.22,48,160,,,,,,,,3000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1C221MPD,MP,16.0,220.00,10.0,12.5,-40,85,2000,1.49,0.22,106,275,,,,,,,,2000,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
UVP1C331MPD,MP,16.0,330.00,10.0,16.0,-40,85,2000,1.77,0.22,158,375,,,,,,,,1800,Radial Lead,Bi-Polar Standard,Bi-Polar,Normal
