Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UHE1A101MDD,EOL,10.0,100.00,5.0,11.0,-40,105,4000,0.44,0.19,10,210,,,,,,2300,580,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A221MED,EOL,10.0,220.00,6.3,11.0,-40,105,4000,0.59,0.19,22,340,,,,,,870,220,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A471MPD,MP,10.0,470.00,8.0,11.5,-40,105,6000,1.19,0.19,47,640,,,,,,520,130,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A681MPD,MP,10.0,680.00,8.0,15.0,-40,105,6000,1.36,0.19,68,840,,,,,,350,87,2000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A681MPD6,MP,10.0,680.00,10.0,12.5,-40,105,6000,1.49,0.19,68,865,,,,,,320,80,2000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A102MPD,MP,10.0,1000.00,8.0,20.0,-40,105,6000,1.66,0.19,100,1050,,,,,,270,69,2000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A102MPD6,MP,10.0,1000.00,10.0,16.0,-40,105,6000,1.77,0.19,100,1210,,,,,,240,60,1800,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A122MPD,MP,10.0,1200.00,10.0,20.0,-40,105,6000,2.34,0.19,120,1400,,,,,,180,46,1400,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A152MPD,MP,10.0,1500.00,10.0,25.0,-40,105,6000,3.07,0.19,150,1650,,,,,,170,42,1200,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A152MHD6,MP,10.0,1500.00,12.5,15.0,-40,105,8000,2.96,0.19,150,1450,,,,,,160,49,1200,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A222MPD,MP,10.0,2200.00,10.0,30.5,-40,105,6000,3.21,0.21,220,1910,,,,,,120,31,1000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A222MHD6,MP,10.0,2200.00,12.5,20.0,-40,105,8000,3.43,0.21,220,1900,,,,,,120,35,1000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A222MHD3,MP,10.0,2200.00,16.0,15.0,-40,105,8000,4.74,0.21,220,1940,,,,,,120,42,700,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A272MHD,MP,10.0,2700.00,18.0,15.0,-40,105,8000,6.31,0.21,270,2210,,,,,,110,43,400,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A332MHD,MP,10.0,3300.00,12.5,25.0,-40,105,8000,4.56,0.23,330,2230,,,,,,89,27,800,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A392MHD,MP,10.0,3900.00,12.5,30.5,-40,105,8000,6.01,0.23,390,2650,,,,,,78,24,600,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A392MHD6,MP,10.0,3900.00,16.0,20.0,-40,105,8000,6.60,0.23,390,2530,,,,,,78,27,600,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A472MHD,MP,10.0,4700.00,12.5,35.5,-40,105,8000,7.06,0.25,470,2880,,,,,,65,20,500,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A562MHD,MP,10.0,5600.00,12.5,40.0,-40,105,8000,7.57,0.27,560,3350,,,,,,56,17,400,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A562MHD6,MP,10.0,5600.00,16.0,25.0,-40,105,8000,8.20,0.27,560,2930,,,,,,60,21,400,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A562MHD3,MP,10.0,5600.00,18.0,20.0,-40,105,8000,9.00,0.27,560,2860,,,,,,67,26,400,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A682MHD,MP,10.0,6800.00,16.0,30.5,-40,105,8000,9.60,0.29,680,3450,,,,,,50,17,300,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
