Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UKT1C220MDD,EOL,16.0,22.00,5.0,11.0,-55,105,1000,0.44,0.22,11,54,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C330MDD,EOL,16.0,33.00,5.0,11.0,-55,105,1000,0.44,0.22,16,65,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C470MDD,EOL,16.0,47.00,5.0,11.0,-55,105,1000,0.44,0.22,23,79,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C101MDD,EOL,16.0,100.00,5.0,11.0,-55,105,1000,0.44,0.22,48,115,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C221MED,EOL,16.0,220.00,6.3,11.0,-55,105,1000,0.59,0.22,106,190,,,,,,,,4000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C331MPD,MP,16.0,330.00,8.0,11.5,-55,105,1000,1.19,0.22,158,265,,,,,,,,3000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C471MPD,MP,16.0,470.00,8.0,11.5,-55,105,1000,1.19,0.22,226,315,,,,,,,,3000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C102MPD,MP,16.0,1000.00,10.0,16.0,-55,105,1000,1.77,0.22,480,560,,,,,,,,1800,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C222MHD,MP,16.0,2200.00,12.5,20.0,-55,105,1000,3.43,0.24,1056,920,,,,,,,,1000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C332MHD,MP,16.0,3300.00,12.5,30.5,-55,105,1000,6.01,0.26,1584,1270,,,,,,,,600,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C472MHD,MP,16.0,4700.00,12.5,35.5,-55,105,1000,7.06,0.28,2256,1480,,,,,,,,500,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C682MHD,MP,16.0,6800.00,16.0,30.5,-55,105,1000,9.60,0.32,3264,1780,,,,,,,,300,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C103MHD,MP,16.0,10000.00,18.0,35.5,-55,105,1000,14.20,0.40,4800,2060,,,,,,,,250,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C153MRD,EOL,16.0,15000.00,20.0,40.0,-55,105,1000,19.60,0.50,7200,2430,,,,,,,,150,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C223MRD,EOL,16.0,22000.00,22.0,50.0,-55,105,1000,27.40,0.64,10560,3000,,,,,,,,250,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E4R7MDD,EOL,25.0,4.70,5.0,11.0,-55,105,1000,0.44,0.18,4,25,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E100MDD,EOL,25.0,10.00,5.0,11.0,-55,105,1000,0.44,0.18,8,36,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E220MDD,EOL,25.0,22.00,5.0,11.0,-55,105,1000,0.44,0.18,17,58,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E330MDD,EOL,25.0,33.00,5.0,11.0,-55,105,1000,0.44,0.18,25,68,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E470MDD,EOL,25.0,47.00,5.0,11.0,-55,105,1000,0.44,0.18,35,83,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E101MED,EOL,25.0,100.00,6.3,11.0,-55,105,1000,0.59,0.18,75,140,,,,,,,,4000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E221MPD,MP,25.0,220.00,8.0,11.5,-55,105,1000,1.19,0.18,165,240,,,,,,,,3000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E331MPD,MP,25.0,330.00,8.0,11.5,-55,105,1000,1.19,0.18,248,290,,,,,,,,3000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E471MPD,MP,25.0,470.00,10.0,12.5,-55,105,1000,1.49,0.18,353,380,,,,,,,,2000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E102MPD,MP,25.0,1000.00,10.0,20.0,-55,105,1000,2.34,0.18,750,680,,,,,,,,1400,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E222MHD,MP,25.0,2200.00,12.5,30.5,-55,105,1000,6.01,0.20,1650,1200,,,,,,,,600,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E332MHD,MP,25.0,3300.00,12.5,35.5,-55,105,1000,7.06,0.22,2475,1400,,,,,,,,500,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E472MHD,MP,25.0,4700.00,16.0,30.5,-55,105,1000,9.60,0.24,3525,1710,,,,,,,,300,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E682MHD,MP,25.0,6800.00,18.0,35.5,-55,105,1000,14.20,0.28,5100,2040,,,,,,,,250,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E103MRD,EOL,25.0,10000.00,20.0,40.0,-55,105,1000,19.60,0.36,7500,2150,,,,,,,,150,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1E153MRD,EOL,25.0,15000.00,22.0,50.0,-55,105,1000,27.40,0.46,11250,2750,,,,,,,,250,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1V4R7MDD,EOL,35.0,4.70,5.0,11.0,-55,105,1000,0.44,0.16,5,28,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1V100MDD,EOL,35.0,10.00,5.0,11.0,-55,105,1000,0.44,0.16,11,41,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1V220MDD,EOL,35.0,22.00,5.0,11.0,-55,105,1000,0.44,0.16,23,61,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1V330MDD,EOL,35.0,33.00,5.0,11.0,-55,105,1000,0.44,0.16,35,75,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1V470MDD,EOL,35.0,47.00,5.0,11.0,-55,105,1000,0.44,0.16,49,93,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1V101MED,EOL,35.0,100.00,6.3,11.0,-55,105,1000,0.59,0.16,105,150,,,,,,,,4000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1V221MPD,MP,35.0,220.00,8.0,11.5,-55,105,1000,1.19,0.16,231,260,,,,,,,,3000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1V331MPD,MP,35.0,330.00,10.0,12.5,-55,105,1000,1.49,0.16,347,350,,,,,,,,2000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1V471MPD,MP,35.0,470.00,10.0,16.0,-55,105,1000,1.77,0.16,494,460,,,,,,,,1800,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1V102MHD,MP,35.0,1000.00,12.5,25.0,-55,105,1000,4.56,0.16,1050,860,,,,,,,,800,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1V222MHD,MP,35.0,2200.00,12.5,40.0,-55,105,1000,7.57,0.18,2310,1260,,,,,,,,400,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1V332MHD,MP,35.0,3300.00,16.0,35.5,-55,105,1000,11.80,0.20,3465,1610,,,,,,,,300,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1V472MHD,MP,35.0,4700.00,18.0,35.5,-55,105,1000,14.20,0.22,4935,1910,,,,,,,,250,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1V682MRD,EOL,35.0,6800.00,20.0,40.0,-55,105,1000,19.60,0.26,7140,2150,,,,,,,,150,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1V103MRD,EOL,35.0,10000.00,22.0,50.0,-55,105,1000,27.40,0.34,10500,2650,,,,,,,,250,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H2R2MDD,EOL,50.0,2.20,5.0,11.0,-55,105,1000,0.44,0.14,4,20,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H3R3MDD,EOL,50.0,3.30,5.0,11.0,-55,105,1000,0.44,0.14,5,25,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H4R7MDD,EOL,50.0,4.70,5.0,11.0,-55,105,1000,0.44,0.14,7,30,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H100MDD,EOL,50.0,10.00,5.0,11.0,-55,105,1000,0.44,0.14,15,46,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H220MDD,EOL,50.0,22.00,5.0,11.0,-55,105,1000,0.44,0.14,33,68,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H330MDD,EOL,50.0,33.00,5.0,11.0,-55,105,1000,0.44,0.14,50,90,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H470MED,EOL,50.0,47.00,6.3,11.0,-55,105,1000,0.59,0.14,71,115,,,,,,,,4000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H101MPD,MP,50.0,100.00,8.0,11.5,-55,105,1000,1.19,0.14,150,190,,,,,,,,3000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H221MPD,MP,50.0,220.00,10.0,12.5,-55,105,1000,1.49,0.14,330,300,,,,,,,,2000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H331MPD,MP,50.0,330.00,10.0,16.0,-55,105,1000,1.77,0.14,495,410,,,,,,,,1800,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H471MHD,MP,50.0,470.00,12.5,20.0,-55,105,1000,3.43,0.14,705,530,,,,,,,,1000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H102MHD,MP,50.0,1000.00,12.5,30.5,-55,105,1000,6.01,0.14,1500,1040,,,,,,,,600,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H222MHD,MP,50.0,2200.00,16.0,35.5,-55,105,1000,11.80,0.16,3300,1470,,,,,,,,300,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H332MHD,MP,50.0,3300.00,18.0,35.5,-55,105,1000,14.20,0.18,4950,1770,,,,,,,,250,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H472MRD,EOL,50.0,4700.00,20.0,40.0,-55,105,1000,19.60,0.20,7050,2100,,,,,,,,150,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1H682MRD,EOL,50.0,6800.00,22.0,50.0,-55,105,1000,27.40,0.24,10200,2500,,,,,,,,250,Radial Lead,105degC Standard,Uni-Polar,Normal
