Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (125℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UBT1A221MPD,EOL,10.0,220.00,8.0,11.5,-40,125,2000,1.19,0.20,66,340,,,,,,,0.26,3000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1A221MPD8,MP,10.0,220.00,8.0,11.5,-40,125,2000,1.19,0.20,66,340,,,,,,,0.26,3000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1A331MPD,EOL,10.0,330.00,10.0,12.5,-40,125,5000,1.49,0.20,99,620,,,,,,,0.15,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1A331MPD8,MP,10.0,330.00,10.0,12.5,-40,125,5000,1.49,0.20,99,620,,,,,,,0.15,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1A471MPD,EOL,10.0,470.00,10.0,12.5,-40,125,5000,1.49,0.20,141,680,,,,,,,0.1,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1A471MPD8,MP,10.0,470.00,10.0,12.5,-40,125,5000,1.49,0.20,141,680,,,,,,,0.1,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1A102MPD,EOL,10.0,1000.00,10.0,20.0,-40,125,5000,2.34,0.20,300,1100,,,,,,,0.057,1400,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1A102MPD8,MP,10.0,1000.00,10.0,20.0,-40,125,5000,2.34,0.20,300,1100,,,,,,,0.057,1400,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1A222MHD,EOL,10.0,2200.00,12.5,25.0,-40,125,10000,4.56,0.22,660,1750,,,,,,,0.033,800,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1A222MHD8,MP,10.0,2200.00,12.5,25.0,-40,125,10000,4.56,0.22,660,1750,,,,,,,0.033,800,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1A332MHD,EOL,10.0,3300.00,16.0,25.0,-40,125,10000,8.20,0.24,990,2300,,,,,,,0.024,400,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1A332MHD8,MP,10.0,3300.00,16.0,25.0,-40,125,10000,8.20,0.24,990,2300,,,,,,,0.024,400,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1A472MHD,EOL,10.0,4700.00,16.0,30.5,-40,125,10000,9.60,0.26,1410,2710,,,,,,,0.02,300,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1A472MHD8,MP,10.0,4700.00,16.0,30.5,-40,125,10000,9.60,0.26,1410,2710,,,,,,,0.02,300,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1C101MPD,EOL,16.0,100.00,8.0,11.5,-40,125,2000,1.19,0.16,48,340,,,,,,,0.32,3000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1C101MPD8,MP,16.0,100.00,8.0,11.5,-40,125,2000,1.19,0.16,48,340,,,,,,,0.32,3000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1C221MPD,EOL,16.0,220.00,10.0,12.5,-40,125,5000,1.49,0.16,106,620,,,,,,,0.15,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1C221MPD8,MP,16.0,220.00,10.0,12.5,-40,125,5000,1.49,0.16,106,620,,,,,,,0.15,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1C331MPD,EOL,16.0,330.00,10.0,12.5,-40,125,5000,1.49,0.16,158,680,,,,,,,0.1,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1C331MPD8,MP,16.0,330.00,10.0,12.5,-40,125,5000,1.49,0.16,158,680,,,,,,,0.1,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1C471MPD,EOL,16.0,470.00,10.0,16.0,-40,125,5000,1.77,0.16,226,945,,,,,,,0.075,1800,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBT1C471MPD8,MP,16.0,470.00,10.0,16.0,-40,125,5000,1.77,0.16,226,945,,,,,,,0.075,1800,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
