Capacitance (μF),120Hz,300Hz,1kHz,10kHz to 200kHz
2.2,0.5,0.58,0.8,1.0
10,0.55,0.62,0.85,1.0
15,0.55,0.65,0.87,1.0
22,0.58,0.68,0.89,1.0
33,0.61,0.71,0.91,1.0
47,0.63,0.73,0.92,1.0
68,0.65,0.75,0.93,1.0
100,0.67,0.77,0.94,1.0
150,0.7,0.79,0.95,1.0
220,0.72,0.81,0.96,1.0
330,0.74,0.83,0.97,1.0
470,0.77,0.85,0.97,1.0
680,0.79,0.87,0.98,1.0
1000,0.81,0.88,0.99,1.0
1500,0.83,0.9,0.99,1.0
2200,0.84,0.91,0.99,1.0
3300,0.85,0.92,0.99,1.0
4700,0.86,0.93,0.99,1.0
6800,0.87,0.94,0.99,1.0
10000,0.88,0.95,0.99,1.0
15000,0.89,0.96,1.0,1.0
