Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Ripple Rating (105℃/120Hz),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPJ0J472MHD6,MP,6.3,4700.00,18.0,20.0,-55,105,5000,9.00,0.28,888,1920,1720.0,,,,,0.13,0.05,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ0J562MHD,MP,6.3,5600.00,12.5,40.0,-55,105,5000,7.57,0.30,1058,2270,2040.0,,,,,0.078,0.031,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ0J562MHD6,MP,6.3,5600.00,18.0,20.0,-55,105,5000,9.00,0.30,1058,1980,1780.0,,,,,0.12,0.047,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ0J682MHD,MP,6.3,6800.00,16.0,30.5,-55,105,5000,9.60,0.32,1285,2370,2130.0,,,,,0.073,0.029,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ0J682MHD6,MP,6.3,6800.00,18.0,25.0,-55,105,5000,10.60,0.32,1285,2210,1980.0,,,,,0.098,0.039,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ0J822MHD,MP,6.3,8200.00,16.0,35.5,-55,105,5000,11.80,0.36,1550,2550,2290.0,,,,,0.068,0.027,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ0J822MHD6,MP,6.3,8200.00,18.0,30.5,-55,105,5000,13.10,0.36,1550,2390,2150.0,,,,,0.078,0.031,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ0J103MHD,MP,6.3,10000.00,16.0,40.0,-55,105,5000,14.10,0.40,1890,2750,2470.0,,,,,0.063,0.025,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ0J103MHD6,MP,6.3,10000.00,18.0,30.5,-55,105,5000,13.10,0.40,1890,2490,2240.0,,,,,0.07,0.028,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ0J123MHD,MP,6.3,12000.00,18.0,35.5,-55,105,5000,14.20,0.44,2268,2820,2530.0,,,,,0.058,0.023,250,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
