Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Ripple Rating (105℃/120Hz),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPJ1C122MHD,MP,16.0,1200.00,12.5,20.0,-55,105,5000,3.43,0.16,576,1430,1250.0,,,,,0.15,0.06,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C122MHD6,MP,16.0,1200.00,16.0,15.0,-55,105,5000,4.74,0.16,576,1390,1220.0,,,,,0.18,0.072,700,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C152MHD,MP,16.0,1500.00,12.5,25.0,-55,105,5000,4.56,0.16,720,1660,1490.0,,,,,0.12,0.048,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C152MHD6,MP,16.0,1500.00,18.0,15.0,-55,105,5000,6.31,0.16,720,1560,1400.0,,,,,0.17,0.066,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C182MHD,MP,16.0,1800.00,12.5,30.5,-55,105,5000,6.01,0.16,864,1880,1690.0,,,,,0.1,0.039,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C182MHD6,MP,16.0,1800.00,16.0,20.0,-55,105,5000,6.60,0.16,864,1700,1530.0,,,,,0.14,0.054,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C222MHD,MP,16.0,2200.00,12.5,30.5,-55,105,5000,6.01,0.18,1056,2010,1800.0,,,,,0.085,0.034,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C222MHD6,MP,16.0,2200.00,16.0,20.0,-55,105,5000,6.60,0.18,1056,1800,1620.0,,,,,0.12,0.048,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C272MHD,MP,16.0,2700.00,12.5,35.5,-55,105,5000,7.06,0.18,1296,2220,1990.0,,,,,0.078,0.031,500,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C272MHD6,MP,16.0,2700.00,16.0,25.0,-55,105,5000,8.20,0.18,1296,2010,1800.0,,,,,0.1,0.04,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C332MHD,MP,16.0,3300.00,12.5,40.0,-55,105,5000,7.57,0.20,1584,2410,2160.0,,,,,0.07,0.028,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C332MHD6,MP,16.0,3300.00,18.0,20.0,-55,105,5000,9.00,0.20,1584,2090,1880.0,,,,,0.1,0.039,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C392MHD,MP,16.0,3900.00,16.0,30.5,-55,105,5000,9.60,0.20,1872,2470,2220.0,,,,,0.068,0.027,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C392MHD6,MP,16.0,3900.00,18.0,25.0,-55,105,5000,10.60,0.20,1872,2290,2060.0,,,,,0.085,0.034,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C472MHD,MP,16.0,4700.00,16.0,35.5,-55,105,5000,11.80,0.22,2256,2680,2410.0,,,,,0.063,0.025,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C472MHD6,MP,16.0,4700.00,18.0,30.5,-55,105,5000,13.10,0.22,2256,2490,2240.0,,,,,0.07,0.028,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C562MHD,MP,16.0,5600.00,16.0,40.0,-55,105,5000,14.10,0.24,2688,2820,2530.0,,,,,0.06,0.024,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C562MHD6,MP,16.0,5600.00,18.0,35.5,-55,105,5000,14.20,0.24,2688,2620,2350.0,,,,,0.068,0.027,250,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C682MHD,MP,16.0,6800.00,18.0,35.5,-55,105,5000,14.20,0.26,3264,2900,2610.0,,,,,0.055,0.022,250,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C822MHD,MP,16.0,8200.00,18.0,40.0,-55,105,5000,17.70,0.30,3936,3040,2730.0,,,,,0.053,0.021,200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E330MDD,EOL,25.0,33.00,5.0,11.0,-55,105,2000,0.44,0.14,25,155,88.0,,,,,3.3,1.3,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E390MDD,EOL,25.0,39.00,5.0,11.0,-55,105,2000,0.44,0.14,29,175,100.0,,,,,2.8,1.1,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E470MED,EOL,25.0,47.00,6.3,11.0,-55,105,2000,0.59,0.14,35,210,125.0,,,,,2.1,0.84,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E560MED,EOL,25.0,56.00,6.3,11.0,-55,105,2000,0.59,0.14,42,235,140.0,,,,,1.8,0.72,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E680MED,EOL,25.0,68.00,6.3,11.0,-55,105,2000,0.59,0.14,51,260,160.0,,,,,1.4,0.57,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E820MED,EOL,25.0,82.00,6.3,11.0,-55,105,2000,0.59,0.14,62,285,180.0,,,,,1.2,0.47,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E101MED,EOL,25.0,100.00,6.3,15.0,-55,105,2000,0.72,0.14,75,370,245.0,,,,,0.98,0.39,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E121MED,EOL,25.0,120.00,6.3,15.0,-55,105,2000,0.72,0.14,90,405,275.0,,,,,0.8,0.32,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E151MPD,MP,25.0,150.00,8.0,11.5,-55,105,3000,1.19,0.14,113,460,320.0,,,,,0.65,0.26,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E181MPD,MP,25.0,180.00,8.0,15.0,-55,105,3000,1.36,0.14,135,550,390.0,,,,,0.55,0.22,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E181MPD6,MP,25.0,180.00,10.0,12.5,-55,105,5000,1.49,0.14,135,555,395.0,,,,,0.6,0.24,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E221MPD,MP,25.0,220.00,8.0,15.0,-55,105,3000,1.36,0.14,165,625,455.0,,,,,0.45,0.18,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E221MPD6,MP,25.0,220.00,10.0,12.5,-55,105,5000,1.49,0.14,165,600,435.0,,,,,0.53,0.21,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E271MPD,MP,25.0,270.00,8.0,20.0,-55,105,3000,1.66,0.14,203,750,560.0,,,,,0.38,0.15,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E271MPD6,MP,25.0,270.00,10.0,16.0,-55,105,5000,1.77,0.14,203,700,525.0,,,,,0.45,0.18,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E331MPD,MP,25.0,330.00,8.0,20.0,-55,105,3000,1.66,0.14,248,795,610.0,,,,,0.33,0.13,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E331MPD6,MP,25.0,330.00,10.0,16.0,-55,105,5000,1.77,0.14,248,750,575.0,,,,,0.38,0.15,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E391MPD,MP,25.0,390.00,10.0,20.0,-55,105,5000,2.34,0.14,293,985,770.0,,,,,0.28,0.11,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E391MHD6,MP,25.0,390.00,12.5,15.0,-55,105,5000,2.96,0.14,293,920,720.0,,,,,0.33,0.13,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E471MPD,MP,25.0,470.00,10.0,20.0,-55,105,5000,2.34,0.14,353,1020,810.0,,,,,0.25,0.1,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E471MHD6,MP,25.0,470.00,12.5,15.0,-55,105,5000,2.96,0.14,353,985,785.0,,,,,0.28,0.11,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E561MPD,MP,25.0,560.00,10.0,25.0,-55,105,5000,3.07,0.14,420,1220,990.0,,,,,0.21,0.084,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E561MHD6,MP,25.0,560.00,12.5,15.0,-55,105,5000,2.96,0.14,420,1060,860.0,,,,,0.25,0.1,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E681MPD,MP,25.0,680.00,10.0,30.5,-55,105,5000,3.21,0.14,510,1420,1180.0,,,,,0.18,0.072,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E681MHD6,MP,25.0,680.00,16.0,15.0,-55,105,5000,4.74,0.14,510,1270,1050.0,,,,,0.21,0.084,700,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E821MHD,MP,25.0,820.00,12.5,20.0,-55,105,5000,3.43,0.14,615,1430,1210.0,,,,,0.15,0.059,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E821MHD6,MP,25.0,820.00,16.0,15.0,-55,105,5000,4.74,0.14,615,1340,1130.0,,,,,0.2,0.079,700,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E102MHD,MP,25.0,1000.00,12.5,25.0,-55,105,5000,4.56,0.14,750,1660,1430.0,,,,,0.12,0.048,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E102MHD6,MP,25.0,1000.00,18.0,15.0,-55,105,5000,6.31,0.14,750,1520,1310.0,,,,,0.17,0.066,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E122MHD,MP,25.0,1200.00,12.5,25.0,-55,105,5000,4.56,0.14,900,1760,1550.0,,,,,0.11,0.043,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E122MHD6,MP,25.0,1200.00,18.0,15.0,-55,105,5000,6.31,0.14,900,1600,1400.0,,,,,0.15,0.061,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E152MHD,MP,25.0,1500.00,12.5,30.5,-55,105,5000,6.01,0.14,1125,1980,1780.0,,,,,0.088,0.035,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E152MHD6,MP,25.0,1500.00,16.0,20.0,-55,105,5000,6.60,0.14,1125,1770,1590.0,,,,,0.13,0.05,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E182MHD,MP,25.0,1800.00,12.5,35.5,-55,105,5000,7.06,0.14,1350,2180,1960.0,,,,,0.08,0.032,500,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E182MHD6,MP,25.0,1800.00,16.0,25.0,-55,105,5000,8.20,0.14,1350,1980,1780.0,,,,,0.1,0.041,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E222MHD,MP,25.0,2200.00,12.5,40.0,-55,105,5000,7.57,0.16,1650,2360,2120.0,,,,,0.073,0.029,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E222MHD6,MP,25.0,2200.00,18.0,20.0,-55,105,5000,9.00,0.16,1650,2050,1840.0,,,,,0.1,0.04,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E272MHD,MP,25.0,2700.00,16.0,30.5,-55,105,5000,9.60,0.16,2025,2470,2220.0,,,,,0.068,0.027,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E272MHD6,MP,25.0,2700.00,18.0,25.0,-55,105,5000,10.60,0.16,2025,2290,2060.0,,,,,0.085,0.034,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E332MHD,MP,25.0,3300.00,16.0,35.5,-55,105,5000,11.80,0.18,2475,2680,2410.0,,,,,0.063,0.025,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E332MHD6,MP,25.0,3300.00,18.0,30.5,-55,105,5000,13.10,0.18,2475,2490,2240.0,,,,,0.073,0.029,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E392MHD,MP,25.0,3900.00,16.0,40.0,-55,105,5000,14.10,0.18,2925,2820,2530.0,,,,,0.058,0.023,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E392MHD6,MP,25.0,3900.00,18.0,35.5,-55,105,5000,14.20,0.18,2925,2690,2420.0,,,,,0.065,0.026,250,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1E472MHD,MP,25.0,4700.00,18.0,40.0,-55,105,5000,17.70,0.20,3525,2960,2660.0,,,,,0.055,0.022,200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V220MDD,EOL,35.0,22.00,5.0,11.0,-55,105,2000,0.44,0.12,23,160,85.0,,,,,3.3,1.3,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V270MDD,EOL,35.0,27.00,5.0,11.0,-55,105,2000,0.44,0.12,28,180,99.0,,,,,2.5,1.0,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V330MED,EOL,35.0,33.00,6.3,11.0,-55,105,2000,0.59,0.12,35,225,125.0,,,,,2.0,0.78,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V390MED,EOL,35.0,39.00,6.3,11.0,-55,105,2000,0.59,0.12,41,245,140.0,,,,,1.7,0.66,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V470MED,EOL,35.0,47.00,6.3,11.0,-55,105,2000,0.59,0.12,49,270,160.0,,,,,1.4,0.54,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V560MED,EOL,35.0,56.00,6.3,11.0,-55,105,2000,0.59,0.12,59,295,180.0,,,,,1.1,0.45,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V680MED,EOL,35.0,68.00,6.3,15.0,-55,105,2000,0.72,0.12,71,370,230.0,,,,,0.93,0.37,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V820MED,EOL,35.0,82.00,6.3,15.0,-55,105,2000,0.72,0.12,86,415,265.0,,,,,0.78,0.31,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V101MPD,MP,35.0,100.00,8.0,11.5,-55,105,3000,1.19,0.12,105,460,305.0,,,,,0.65,0.26,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V121MPD,MP,35.0,120.00,8.0,15.0,-55,105,3000,1.36,0.12,126,550,370.0,,,,,0.55,0.22,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V121MPD6,MP,35.0,120.00,10.0,12.5,-55,105,5000,1.49,0.12,126,555,375.0,,,,,0.6,0.24,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V151MPD,MP,35.0,150.00,8.0,15.0,-55,105,3000,1.36,0.12,158,595,415.0,,,,,0.45,0.18,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V151MPD6,MP,35.0,150.00,10.0,12.5,-55,105,5000,1.49,0.12,158,625,435.0,,,,,0.5,0.2,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V181MPD,MP,35.0,180.00,8.0,20.0,-55,105,3000,1.66,0.12,189,730,520.0,,,,,0.4,0.16,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V181MPD6,MP,35.0,180.00,10.0,16.0,-55,105,5000,1.77,0.12,189,700,500.0,,,,,0.45,0.18,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V221MPD,MP,35.0,220.00,8.0,20.0,-55,105,3000,1.66,0.12,231,795,580.0,,,,,0.33,0.13,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V221MPD6,MP,35.0,220.00,10.0,16.0,-55,105,5000,1.77,0.12,231,770,560.0,,,,,0.35,0.14,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V271MPD,MP,35.0,270.00,10.0,20.0,-55,105,5000,2.34,0.12,284,985,735.0,,,,,0.28,0.11,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V271MHD6,MP,35.0,270.00,12.5,15.0,-55,105,5000,2.96,0.12,284,920,690.0,,,,,0.33,0.13,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V331MPD,MP,35.0,330.00,10.0,20.0,-55,105,5000,2.34,0.12,347,1060,810.0,,,,,0.24,0.096,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V331MHD6,MP,35.0,330.00,12.5,15.0,-55,105,5000,2.96,0.12,347,1020,780.0,,,,,0.25,0.1,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V391MPD,MP,35.0,390.00,10.0,25.0,-55,105,5000,3.07,0.12,410,1220,955.0,,,,,0.21,0.084,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V391MHD6,MP,35.0,390.00,12.5,15.0,-55,105,5000,2.96,0.12,410,1060,825.0,,,,,0.24,0.096,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V471MPD,MP,35.0,470.00,10.0,30.5,-55,105,5000,3.21,0.12,494,1420,1130.0,,,,,0.18,0.072,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V471MHD6,MP,35.0,470.00,16.0,15.0,-55,105,5000,4.74,0.12,494,1270,1010.0,,,,,0.21,0.084,700,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V561MHD,MP,35.0,560.00,12.5,20.0,-55,105,5000,3.43,0.12,588,1430,1160.0,,,,,0.15,0.059,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V561MHD6,MP,35.0,560.00,16.0,15.0,-55,105,5000,4.74,0.12,588,1360,1100.0,,,,,0.19,0.075,700,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V681MHD,MP,35.0,680.00,12.5,25.0,-55,105,5000,4.56,0.12,714,1660,1370.0,,,,,0.12,0.048,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V681MHD6,MP,35.0,680.00,18.0,15.0,-55,105,5000,6.31,0.12,714,1540,1270.0,,,,,0.17,0.066,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V821MHD,MP,35.0,820.00,12.5,25.0,-55,105,5000,4.56,0.12,861,1760,1490.0,,,,,0.11,0.042,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V821MHD6,MP,35.0,820.00,18.0,15.0,-55,105,5000,6.31,0.12,861,1620,1370.0,,,,,0.15,0.06,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V102MHD,MP,35.0,1000.00,12.5,30.5,-55,105,5000,6.01,0.12,1050,1980,1710.0,,,,,0.088,0.035,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V102MHD6,MP,35.0,1000.00,16.0,20.0,-55,105,5000,6.60,0.12,1050,1770,1530.0,,,,,0.13,0.05,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V122MHD,MP,35.0,1200.00,12.5,35.5,-55,105,5000,7.06,0.12,1260,2180,1920.0,,,,,0.078,0.031,500,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V122MHD6,MP,35.0,1200.00,16.0,25.0,-55,105,5000,8.20,0.12,1260,1980,1740.0,,,,,0.1,0.041,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V152MHD,MP,35.0,1500.00,12.5,40.0,-55,105,5000,7.57,0.12,1575,2360,2120.0,,,,,0.073,0.029,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V152MHD6,MP,35.0,1500.00,18.0,20.0,-55,105,5000,9.00,0.12,1575,2050,1840.0,,,,,0.1,0.04,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V182MHD,MP,35.0,1800.00,16.0,30.5,-55,105,5000,9.60,0.12,1890,2470,2220.0,,,,,0.068,0.027,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V182MHD6,MP,35.0,1800.00,18.0,25.0,-55,105,5000,10.60,0.12,1890,2290,2060.0,,,,,0.085,0.034,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V222MHD,MP,35.0,2200.00,16.0,35.5,-55,105,5000,11.80,0.14,2310,2680,2410.0,,,,,0.06,0.024,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V222MHD6,MP,35.0,2200.00,18.0,30.5,-55,105,5000,13.10,0.14,2310,2490,2240.0,,,,,0.07,0.028,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V272MHD,MP,35.0,2700.00,16.0,40.0,-55,105,5000,14.10,0.14,2835,2900,2610.0,,,,,0.055,0.022,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V272MHD6,MP,35.0,2700.00,18.0,35.5,-55,105,5000,14.20,0.14,2835,2690,2420.0,,,,,0.065,0.026,250,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1V332MHD,MP,35.0,3300.00,18.0,40.0,-55,105,5000,17.70,0.16,3465,3040,2730.0,,,,,0.053,0.021,200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H2R2MDD,EOL,50.0,2.20,5.0,11.0,-55,105,2000,0.44,0.10,4,54,27.0,,,,,18.0,6.5,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H3R3MDD,EOL,50.0,3.30,5.0,11.0,-55,105,2000,0.44,0.10,5,66,33.0,,,,,12.0,4.6,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H4R7MDD,EOL,50.0,4.70,5.0,11.0,-55,105,2000,0.44,0.10,7,81,40.0,,,,,7.8,3.1,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H6R8MDD,EOL,50.0,6.80,5.0,11.0,-55,105,2000,0.44,0.10,10,91,45.0,,,,,6.3,2.5,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H100MDD,EOL,50.0,10.00,5.0,11.0,-55,105,2000,0.44,0.10,15,115,57.0,,,,,5.0,2.0,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H120MDD,EOL,50.0,12.00,5.0,11.0,-55,105,2000,0.44,0.10,18,125,62.0,,,,,4.3,1.7,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H150MDD,EOL,50.0,15.00,5.0,11.0,-55,105,2000,0.44,0.10,23,145,72.0,,,,,3.3,1.3,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H180MDD,EOL,50.0,18.00,5.0,11.0,-55,105,2000,0.44,0.10,27,155,79.0,,,,,2.8,1.1,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H220MED,EOL,50.0,22.00,6.3,11.0,-55,105,2000,0.59,0.10,33,195,100.0,,,,,2.3,0.91,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H270MED,EOL,50.0,27.00,6.3,11.0,-55,105,2000,0.59,0.10,41,215,115.0,,,,,1.9,0.74,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H330MED,EOL,50.0,33.00,6.3,11.0,-55,105,2000,0.59,0.10,50,240,135.0,,,,,1.5,0.6,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H390MED,EOL,50.0,39.00,6.3,11.0,-55,105,2000,0.59,0.10,59,260,150.0,,,,,1.3,0.5,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H470MED,EOL,50.0,47.00,6.3,15.0,-55,105,2000,0.72,0.10,71,330,195.0,,,,,1.1,0.42,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H560MED,EOL,50.0,56.00,6.3,15.0,-55,105,2000,0.72,0.10,84,360,220.0,,,,,0.88,0.35,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H680MPD,MP,50.0,68.00,8.0,11.5,-55,105,3000,1.19,0.10,102,410,255.0,,,,,0.7,0.28,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H820MPD,MP,50.0,82.00,8.0,15.0,-55,105,3000,1.36,0.10,123,500,320.0,,,,,0.55,0.22,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H820MPD6,MP,50.0,82.00,10.0,12.5,-55,105,5000,1.49,0.10,123,510,330.0,,,,,0.58,0.23,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H101MPD,MP,50.0,100.00,8.0,20.0,-55,105,3000,1.66,0.10,150,620,410.0,,,,,0.45,0.18,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H101MPD6,MP,50.0,100.00,10.0,16.0,-55,105,5000,1.77,0.10,150,580,385.0,,,,,0.53,0.21,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1H121MPD,MP,50.0,120.00,8.0,20.0,-55,105,3000,1.66,0.10,180,670,455.0,,,,,0.4,0.16,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
