Capacitance (µF),50Hz,120Hz,300Hz,1kHz,10kHz or more
10 to 68,0.75,1.0,1.35,1.57,2.0
100 to 680,0.8,1.0,1.23,1.34,1.5
1000 to 10000,0.85,1.0,1.1,1.13,1.15
